Country Name,Code,Year,Coal electricity per capita (kWh),Gas electricity per capita (kWh),Oil electricity per capita (kWh),Nuclear electricity per capita (kWh),Hydro electricity per capita (kWh),Wind electricity per capita (kWh),Solar electricity per capita (kWh),Other renewable electricity including bioenergy per capita (kWh),,Coal %,Gas %,Oil %,Nuclear %,Hydro %,Wind %,Solar %,Other renewable %,Fossil %,Renewable %
Brunei,BRN,2000,0,0,7157.039063,0,0,0,0,0,7157.039063,0,0,100,0,0,0,0,0,100,0
Brunei,BRN,2001,0,0,7101.793457,0,0,0,0,0,7101.793457,0,0,100,0,0,0,0,0,100,0
Brunei,BRN,2002,0,0,7309.983398,0,0,0,0,0,7309.983398,0,0,100,0,0,0,0,0,100,0
Brunei,BRN,2003,0,0,8473.40332,0,0,0,0,0,8473.40332,0,0,100,0,0,0,0,0,100,0
Brunei,BRN,2004,0,0,8516.611328,0,0,0,0,0,8516.611328,0,0,100,0,0,0,0,0,100,0
Brunei,BRN,2005,0,0,8371.326172,0,0,0,0,0,8371.326172,0,0,100,0,0,0,0,0,100,0
Brunei,BRN,2006,0,0,8315.138672,0,0,0,0,0,8315.138672,0,0,100,0,0,0,0,0,100,0
Brunei,BRN,2007,0,0,8422.198242,0,0,0,0,0,8422.198242,0,0,100,0,0,0,0,0,100,0
Brunei,BRN,2008,0,7462.705566,910.0861206,0,0,0,0,0,8372.791687,0,89.13043397,10.86956603,0,0,0,0,0,100,0
Brunei,BRN,2009,0,7737.20166,947.9353027,0,0,0,0,0,8685.136963,0,89.08554572,10.91445428,0,0,0,0,0,100,0
